role,lifecycle:transition,event,completeTime,case:REG_DATE,case,case:AMOUNT_REQ
11180,COMPLETE,O_SELECTED,2011-10-03 11:47:47,2011-10-01 22:59:29.233000+02:00,173811,50000
11180,COMPLETE,O_CREATED,2011-10-03 11:47:48,2011-10-01 22:59:29.233000+02:00,173811,50000
11180,COMPLETE,O_SENT,2011-10-03 11:47:48,2011-10-01 22:59:29.233000+02:00,173811,50000
112,COMPLETE,O_CANCELLED,2011-11-03 09:15:25,2011-10-01 22:59:29.233000+02:00,173811,50000
11180,COMPLETE,O_SELECTED,2011-10-03 09:52:38,2011-10-02 00:57:28.742000+02:00,173817,7000
11180,COMPLETE,O_CREATED,2011-10-03 09:52:39,2011-10-02 00:57:28.742000+02:00,173817,7000
11180,COMPLETE,O_SENT,2011-10-03 09:52:39,2011-10-02 00:57:28.742000+02:00,173817,7000
11180,COMPLETE,O_CANCELLED,2011-10-03 09:53:26,2011-10-02 00:57:28.742000+02:00,173817,7000
11180,COMPLETE,O_SELECTED,2011-10-03 09:53:26,2011-10-02 00:57:28.742000+02:00,173817,7000
11180,COMPLETE,O_CREATED,2011-10-03 09:53:27,2011-10-02 00:57:28.742000+02:00,173817,7000
11180,COMPLETE,O_SENT,2011-10-03 09:53:27,2011-10-02 00:57:28.742000+02:00,173817,7000
10899,COMPLETE,O_SENT_BACK,2011-10-07 13:23:32,2011-10-02 00:57:28.742000+02:00,173817,7000
10609,COMPLETE,O_DECLINED,2011-10-11 09:15:45,2011-10-02 00:57:28.742000+02:00,173817,7000
11120,COMPLETE,O_SELECTED,2011-10-03 09:57:31,2011-10-02 09:23:29.387000+02:00,173823,15000
11120,COMPLETE,O_CREATED,2011-10-03 09:57:33,2011-10-02 09:23:29.387000+02:00,173823,15000
11120,COMPLETE,O_SENT,2011-10-03 09:57:33,2011-10-02 09:23:29.387000+02:00,173823,15000
10899,COMPLETE,O_SENT_BACK,2011-10-10 14:01:44,2011-10-02 09:23:29.387000+02:00,173823,15000
10138,COMPLETE,O_DECLINED,2011-10-13 09:36:21,2011-10-02 09:23:29.387000+02:00,173823,15000
11180,COMPLETE,O_SELECTED,2011-10-03 10:35:59,2011-10-02 10:20:29.934000+02:00,173835,10000
11180,COMPLETE,O_CREATED,2011-10-03 10:36:00,2011-10-02 10:20:29.934000+02:00,173835,10000
11180,COMPLETE,O_SENT,2011-10-03 10:36:00,2011-10-02 10:20:29.934000+02:00,173835,10000
10861,COMPLETE,O_CANCELLED,2011-10-18 14:12:43,2011-10-02 10:20:29.934000+02:00,173835,10000
11201,COMPLETE,O_SELECTED,2011-10-03 13:19:45,2011-10-02 11:03:26.714000+02:00,173844,15500
11201,COMPLETE,O_CREATED,2011-10-03 13:19:47,2011-10-02 11:03:26.714000+02:00,173844,15500
11201,COMPLETE,O_SENT,2011-10-03 13:19:47,2011-10-02 11:03:26.714000+02:00,173844,15500
11049,COMPLETE,O_SENT_BACK,2011-10-10 10:17:48,2011-10-02 11:03:26.714000+02:00,173844,15500
10629,COMPLETE,O_ACCEPTED,2011-10-11 14:57:01,2011-10-02 11:03:26.714000+02:00,173844,15500
11202,COMPLETE,O_SELECTED,2011-10-03 10:22:05,2011-10-02 11:26:19.625000+02:00,173847,5000
11202,COMPLETE,O_CREATED,2011-10-03 10:22:06,2011-10-02 11:26:19.625000+02:00,173847,5000
11202,COMPLETE,O_SENT,2011-10-03 10:22:06,2011-10-02 11:26:19.625000+02:00,173847,5000
10899,COMPLETE,O_SENT_BACK,2011-10-10 13:52:46,2011-10-02 11:26:19.625000+02:00,173847,5000
10138,COMPLETE,O_DECLINED,2011-10-12 10:52:11,2011-10-02 11:26:19.625000+02:00,173847,5000
11120,COMPLETE,O_SELECTED,2011-10-03 12:37:05,2011-10-02 11:47:41.502000+02:00,173859,5000
11120,COMPLETE,O_CREATED,2011-10-03 12:37:07,2011-10-02 11:47:41.502000+02:00,173859,5000
11120,COMPLETE,O_SENT,2011-10-03 12:37:07,2011-10-02 11:47:41.502000+02:00,173859,5000
11120,COMPLETE,O_CANCELLED,2011-10-10 16:43:52,2011-10-02 11:47:41.502000+02:00,173859,5000
11180,COMPLETE,O_SELECTED,2011-10-03 10:21:41,2011-10-02 12:24:18.960000+02:00,173868,5000
11180,COMPLETE,O_CREATED,2011-10-03 10:21:42,2011-10-02 12:24:18.960000+02:00,173868,5000
11180,COMPLETE,O_SENT,2011-10-03 10:21:42,2011-10-02 12:24:18.960000+02:00,173868,5000
11029,COMPLETE,O_SENT_BACK,2011-10-20 09:11:49,2011-10-02 12:24:18.960000+02:00,173868,5000
10609,COMPLETE,O_DECLINED,2011-10-26 08:07:33,2011-10-02 12:24:18.960000+02:00,173868,5000
10909,COMPLETE,O_SELECTED,2011-10-04 19:40:46,2011-10-02 13:05:34.993000+02:00,173871,15500
10909,COMPLETE,O_CREATED,2011-10-04 19:40:47,2011-10-02 13:05:34.993000+02:00,173871,15500
10909,COMPLETE,O_SENT,2011-10-04 19:40:47,2011-10-02 13:05:34.993000+02:00,173871,15500
11029,COMPLETE,O_SENT_BACK,2011-10-11 10:01:11,2011-10-02 13:05:34.993000+02:00,173871,15500
10138,COMPLETE,O_DECLINED,2011-10-14 10:05:53,2011-10-02 13:05:34.993000+02:00,173871,15500
11201,COMPLETE,O_SELECTED,2011-10-03 14:00:45,2011-10-02 13:24:15.505000+02:00,173880,50000
11201,COMPLETE,O_CREATED,2011-10-03 14:00:46,2011-10-02 13:24:15.505000+02:00,173880,50000
11201,COMPLETE,O_SENT,2011-10-03 14:00:46,2011-10-02 13:24:15.505000+02:00,173880,50000
11029,COMPLETE,O_SENT_BACK,2011-10-24 11:28:26,2011-10-02 13:24:15.505000+02:00,173880,50000
11169,COMPLETE,O_CANCELLED,2011-10-28 16:27:23,2011-10-02 13:24:15.505000+02:00,173880,50000
11169,COMPLETE,O_SELECTED,2011-10-28 16:27:23,2011-10-02 13:24:15.505000+02:00,173880,50000
11169,COMPLETE,O_CREATED,2011-10-28 16:27:25,2011-10-02 13:24:15.505000+02:00,173880,50000
11169,COMPLETE,O_SENT,2011-10-28 16:27:25,2011-10-02 13:24:15.505000+02:00,173880,50000
10789,COMPLETE,O_SENT_BACK,2011-11-04 11:46:11,2011-10-02 13:24:15.505000+02:00,173880,50000
10138,COMPLETE,O_ACCEPTED,2011-11-04 13:09:38,2011-10-02 13:24:15.505000+02:00,173880,50000
10889,COMPLETE,O_SELECTED,2011-10-03 16:51:47,2011-10-02 16:05:39.817000+02:00,173898,7000
10889,COMPLETE,O_CREATED,2011-10-03 16:51:48,2011-10-02 16:05:39.817000+02:00,173898,7000
10889,COMPLETE,O_SENT,2011-10-03 16:51:48,2011-10-02 16:05:39.817000+02:00,173898,7000
11201,COMPLETE,O_CANCELLED,2011-10-13 20:00:46,2011-10-02 16:05:39.817000+02:00,173898,7000
11202,COMPLETE,O_SELECTED,2011-10-03 10:43:47,2011-10-02 17:18:05.023000+02:00,173913,5500
11202,COMPLETE,O_CREATED,2011-10-03 10:43:51,2011-10-02 17:18:05.023000+02:00,173913,5500
11202,COMPLETE,O_SENT,2011-10-03 10:43:51,2011-10-02 17:18:05.023000+02:00,173913,5500
10899,COMPLETE,O_SENT_BACK,2011-10-10 13:51:21,2011-10-02 17:18:05.023000+02:00,173913,5500
10809,COMPLETE,O_ACCEPTED,2011-10-12 16:00:58,2011-10-02 17:18:05.023000+02:00,173913,5500
11180,COMPLETE,O_SELECTED,2011-10-03 15:29:05,2011-10-02 18:30:01.576000+02:00,173928,33000
11180,COMPLETE,O_CREATED,2011-10-03 15:29:06,2011-10-02 18:30:01.576000+02:00,173928,33000
11180,COMPLETE,O_SENT,2011-10-03 15:29:06,2011-10-02 18:30:01.576000+02:00,173928,33000
11180,COMPLETE,O_CANCELLED,2011-10-03 15:30:07,2011-10-02 18:30:01.576000+02:00,173928,33000
11180,COMPLETE,O_SELECTED,2011-10-03 15:30:07,2011-10-02 18:30:01.576000+02:00,173928,33000
11180,COMPLETE,O_CREATED,2011-10-03 15:30:09,2011-10-02 18:30:01.576000+02:00,173928,33000
11180,COMPLETE,O_SENT,2011-10-03 15:30:09,2011-10-02 18:30:01.576000+02:00,173928,33000
11029,COMPLETE,O_SENT_BACK,2011-10-26 10:23:27,2011-10-02 18:30:01.576000+02:00,173928,33000
10972,COMPLETE,O_ACCEPTED,2011-11-29 09:27:25,2011-10-02 18:30:01.576000+02:00,173928,33000
11119,COMPLETE,O_SELECTED,2011-10-03 18:51:13,2011-10-02 21:08:02.233000+02:00,173940,7000
11119,COMPLETE,O_CREATED,2011-10-03 18:51:14,2011-10-02 21:08:02.233000+02:00,173940,7000
11119,COMPLETE,O_SENT,2011-10-03 18:51:14,2011-10-02 21:08:02.233000+02:00,173940,7000
10899,COMPLETE,O_SENT_BACK,2011-10-10 13:48:24,2011-10-02 21:08:02.233000+02:00,173940,7000
10138,COMPLETE,O_ACCEPTED,2011-10-14 08:30:21,2011-10-02 21:08:02.233000+02:00,173940,7000
10982,COMPLETE,O_SELECTED,2011-10-03 20:05:38,2011-10-02 22:11:52.060000+02:00,173943,7493
10982,COMPLETE,O_CREATED,2011-10-03 20:06:25,2011-10-02 22:11:52.060000+02:00,173943,7493
10982,COMPLETE,O_SENT,2011-10-03 20:06:25,2011-10-02 22:11:52.060000+02:00,173943,7493
112,COMPLETE,O_CANCELLED,2011-11-03 09:15:32,2011-10-02 22:11:52.060000+02:00,173943,7493
11180,COMPLETE,O_SELECTED,2011-10-03 10:53:05,2011-10-02 22:51:17.311000+02:00,173946,8000
11180,COMPLETE,O_CREATED,2011-10-03 10:53:06,2011-10-02 22:51:17.311000+02:00,173946,8000
11180,COMPLETE,O_SENT,2011-10-03 10:53:06,2011-10-02 22:51:17.311000+02:00,173946,8000
112,COMPLETE,O_CANCELLED,2011-11-03 09:15:22,2011-10-02 22:51:17.311000+02:00,173946,8000
11169,COMPLETE,O_SELECTED,2011-10-04 12:24:38,2011-10-02 23:12:15.824000+02:00,173949,50000
11169,COMPLETE,O_CREATED,2011-10-04 12:25:26,2011-10-02 23:12:15.824000+02:00,173949,50000
11169,COMPLETE,O_SENT,2011-10-04 12:25:26,2011-10-02 23:12:15.824000+02:00,173949,50000
11121,COMPLETE,O_CANCELLED,2011-10-24 09:08:04,2011-10-02 23:12:15.824000+02:00,173949,50000
11121,COMPLETE,O_SELECTED,2011-10-24 09:08:04,2011-10-02 23:12:15.824000+02:00,173949,50000
11121,COMPLETE,O_CREATED,2011-10-24 09:08:08,2011-10-02 23:12:15.824000+02:00,173949,50000
11121,COMPLETE,O_SENT,2011-10-24 09:08:08,2011-10-02 23:12:15.824000+02:00,173949,50000
11049,COMPLETE,O_SENT_BACK,2011-10-27 10:53:52,2011-10-02 23:12:15.824000+02:00,173949,50000
10629,COMPLETE,O_DECLINED,2011-10-31 14:33:55,2011-10-02 23:12:15.824000+02:00,173949,50000
10971,COMPLETE,O_SELECTED,2011-10-04 09:20:00,2011-10-02 23:15:19.164000+02:00,173955,10000
10971,COMPLETE,O_CREATED,2011-10-04 09:20:50,2011-10-02 23:15:19.164000+02:00,173955,10000
10971,COMPLETE,O_SENT,2011-10-04 09:20:50,2011-10-02 23:15:19.164000+02:00,173955,10000
11029,COMPLETE,O_SENT_BACK,2011-10-17 10:19:48,2011-10-02 23:15:19.164000+02:00,173955,10000
10972,COMPLETE,O_ACCEPTED,2011-11-29 15:05:21,2011-10-02 23:15:19.164000+02:00,173955,10000
10913,COMPLETE,O_SELECTED,2011-10-03 11:35:26,2011-10-03 08:09:57.957000+02:00,173979,30000
10913,COMPLETE,O_CREATED,2011-10-03 11:35:28,2011-10-03 08:09:57.957000+02:00,173979,30000
10913,COMPLETE,O_SENT,2011-10-03 11:35:28,2011-10-03 08:09:57.957000+02:00,173979,30000
11049,COMPLETE,O_SENT_BACK,2011-10-10 10:41:34,2011-10-03 08:09:57.957000+02:00,173979,30000
10972,COMPLETE,O_ACCEPTED,2011-10-11 14:01:47,2011-10-03 08:09:57.957000+02:00,173979,30000
11180,COMPLETE,O_SELECTED,2011-10-03 12:36:32,2011-10-03 09:30:51.798000+02:00,173982,8000
11180,COMPLETE,O_CREATED,2011-10-03 12:36:33,2011-10-03 09:30:51.798000+02:00,173982,8000
11180,COMPLETE,O_SENT,2011-10-03 12:36:33,2011-10-03 09:30:51.798000+02:00,173982,8000
11119,COMPLETE,O_CANCELLED,2011-10-10 17:27:02,2011-10-03 09:30:51.798000+02:00,173982,8000
10971,COMPLETE,O_SELECTED,2011-10-03 09:54:36,2011-10-03 09:34:18.390000+02:00,173985,5800
10971,COMPLETE,O_CREATED,2011-10-03 09:54:37,2011-10-03 09:34:18.390000+02:00,173985,5800
10971,COMPLETE,O_SENT,2011-10-03 09:54:37,2011-10-03 09:34:18.390000+02:00,173985,5800
10899,COMPLETE,O_SENT_BACK,2011-10-10 12:52:18,2011-10-03 09:34:18.390000+02:00,173985,5800
10609,COMPLETE,O_DECLINED,2011-10-13 10:26:07,2011-10-03 09:34:18.390000+02:00,173985,5800
10971,COMPLETE,O_SELECTED,2011-10-03 10:33:55,2011-10-03 09:52:42.796000+02:00,173988,10000
10971,COMPLETE,O_CREATED,2011-10-03 10:33:57,2011-10-03 09:52:42.796000+02:00,173988,10000
10971,COMPLETE,O_SENT,2011-10-03 10:33:57,2011-10-03 09:52:42.796000+02:00,173988,10000
11120,COMPLETE,O_CANCELLED,2011-10-10 16:32:17,2011-10-03 09:52:42.796000+02:00,173988,10000
11200,COMPLETE,O_SELECTED,2011-10-04 12:44:41,2011-10-03 10:38:11.406000+02:00,173997,50000
11200,COMPLETE,O_CREATED,2011-10-04 12:44:41,2011-10-03 10:38:11.406000+02:00,173997,50000
