,case,event,startTime,completeTime,creator,variant,variant-index,org:resource,role,Activity
23,Case6,Assign seriousness,2011/10/25 14:13:58.000,2011/10/25 14:13:58.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Assign seriousness
24,Case6,Take in charge ticket,2011/10/25 14:58:55.000,2011/10/25 14:58:55.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
25,Case6,Resolve ticket,2011/10/26 08:54:46.000,2011/10/26 08:54:46.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
26,Case6,Closed,2011/12/10 15:20:56.000,2011/12/10 15:20:56.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
27,Case7,Assign seriousness,2013/11/06 09:47:35.000,2013/11/06 09:47:35.000,Fluxicon Disco,Variant 23,23,Value 1,Value 1,Assign seriousness
28,Case7,Assign seriousness,2013/11/06 09:48:53.000,2013/11/06 09:48:53.000,Fluxicon Disco,Variant 23,23,Value 1,Value 1,Assign seriousness
29,Case7,Assign seriousness,2013/11/22 07:00:08.000,2013/11/22 07:00:08.000,Fluxicon Disco,Variant 23,23,Value 2,Value 2,Assign seriousness
30,Case7,Take in charge ticket,2013/11/25 07:18:07.000,2013/11/25 07:18:07.000,Fluxicon Disco,Variant 23,23,Value 11,Value 11,Take in charge ticket
31,Case7,Resolve ticket,2013/11/25 07:57:19.000,2013/11/25 07:57:19.000,Fluxicon Disco,Variant 23,23,Value 11,Value 11,Resolve ticket
32,Case7,Closed,2013/12/10 07:57:37.000,2013/12/10 07:57:37.000,Fluxicon Disco,Variant 23,23,Value 3,Value 3,Closed
33,Case8,Assign seriousness,2012/07/05 07:30:32.000,2012/07/05 07:30:32.000,Fluxicon Disco,Variant 1,1,Value 1,Value 1,Assign seriousness
34,Case8,Take in charge ticket,2012/07/05 08:25:45.000,2012/07/05 08:25:45.000,Fluxicon Disco,Variant 1,1,Value 6,Value 6,Take in charge ticket
35,Case8,Resolve ticket,2012/07/05 08:44:46.000,2012/07/05 08:44:46.000,Fluxicon Disco,Variant 1,1,Value 6,Value 6,Resolve ticket
36,Case8,Closed,2012/09/02 07:40:27.000,2012/09/02 07:40:27.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
37,Case9,Insert ticket,2010/05/07 12:02:21.000,2010/05/07 12:02:21.000,Fluxicon Disco,Variant 7,7,Value 12,Value 12,Insert ticket
38,Case9,Assign seriousness,2010/05/07 12:02:34.000,2010/05/07 12:02:34.000,Fluxicon Disco,Variant 7,7,Value 12,Value 12,Assign seriousness
39,Case9,Take in charge ticket,2010/05/24 09:26:28.000,2010/05/24 09:26:28.000,Fluxicon Disco,Variant 7,7,Value 6,Value 6,Take in charge ticket
40,Case9,Resolve ticket,2010/05/25 14:35:44.000,2010/05/25 14:35:44.000,Fluxicon Disco,Variant 7,7,Value 12,Value 12,Resolve ticket
41,Case9,Closed,2010/06/09 14:35:56.000,2010/06/09 14:35:56.000,Fluxicon Disco,Variant 7,7,Value 5,Value 5,Closed
42,Case10,Assign seriousness,2010/02/10 07:50:20.000,2010/02/10 07:50:20.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Assign seriousness
43,Case10,Take in charge ticket,2010/03/19 07:47:06.000,2010/03/19 07:47:06.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
44,Case10,Resolve ticket,2010/03/19 07:47:13.000,2010/03/19 07:47:13.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
45,Case10,Closed,2010/04/03 06:47:38.000,2010/04/03 06:47:38.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
46,Case11,Assign seriousness,2011/12/21 14:24:41.000,2011/12/21 14:24:41.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Assign seriousness
47,Case11,Take in charge ticket,2011/12/21 14:25:34.000,2011/12/21 14:25:34.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Take in charge ticket
48,Case11,Resolve ticket,2011/12/22 08:55:43.000,2011/12/22 08:55:43.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Resolve ticket
49,Case11,Closed,2012/01/21 14:30:31.000,2012/01/21 14:30:31.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
50,Case12,Assign seriousness,2013/03/18 09:47:34.000,2013/03/18 09:47:34.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Assign seriousness
51,Case12,Take in charge ticket,2013/03/18 14:03:49.000,2013/03/18 14:03:49.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
52,Case12,Resolve ticket,2013/04/03 06:13:38.000,2013/04/03 06:13:38.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
53,Case12,Closed,2013/04/18 06:13:53.000,2013/04/18 06:13:53.000,Fluxicon Disco,Variant 1,1,Value 3,Value 3,Closed
54,Case13,Assign seriousness,2012/12/17 08:47:49.000,2012/12/17 08:47:49.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Assign seriousness
55,Case13,Take in charge ticket,2013/01/02 08:22:43.000,2013/01/02 08:22:43.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Take in charge ticket
56,Case13,Resolve ticket,2013/01/04 09:29:36.000,2013/01/04 09:29:36.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Resolve ticket
57,Case13,Closed,2013/01/19 09:29:51.000,2013/01/19 09:29:51.000,Fluxicon Disco,Variant 1,1,Value 3,Value 3,Closed
58,Case14,Assign seriousness,2011/07/05 12:47:08.000,2011/07/05 12:47:08.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Assign seriousness
59,Case14,Take in charge ticket,2011/07/05 12:47:22.000,2011/07/05 12:47:22.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Take in charge ticket
60,Case14,Resolve ticket,2011/07/05 12:52:37.000,2011/07/05 12:52:37.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Resolve ticket
61,Case14,Closed,2011/08/05 12:50:21.000,2011/08/05 12:50:21.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
62,Case15,Assign seriousness,2013/02/20 08:58:27.000,2013/02/20 08:58:27.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Assign seriousness
63,Case15,Assign seriousness,2013/03/08 07:25:42.000,2013/03/08 07:25:42.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Assign seriousness
64,Case15,Take in charge ticket,2013/03/08 07:30:43.000,2013/03/08 07:30:43.000,Fluxicon Disco,Variant 4,4,Value 9,Value 9,Take in charge ticket
65,Case15,Resolve ticket,2013/03/08 07:34:08.000,2013/03/08 07:34:08.000,Fluxicon Disco,Variant 4,4,Value 9,Value 9,Resolve ticket
66,Case15,Closed,2013/03/23 07:34:25.000,2013/03/23 07:34:25.000,Fluxicon Disco,Variant 4,4,Value 3,Value 3,Closed
67,Case16,Assign seriousness,2012/02/22 13:16:52.000,2012/02/22 13:16:52.000,Fluxicon Disco,Variant 12,12,Value 1,Value 1,Assign seriousness
68,Case16,Take in charge ticket,2012/02/22 15:14:07.000,2012/02/22 15:14:07.000,Fluxicon Disco,Variant 12,12,Value 9,Value 9,Take in charge ticket
69,Case16,Take in charge ticket,2012/02/22 15:23:57.000,2012/02/22 15:23:57.000,Fluxicon Disco,Variant 12,12,Value 1,Value 1,Take in charge ticket
70,Case16,Resolve ticket,2012/02/23 08:47:38.000,2012/02/23 08:47:38.000,Fluxicon Disco,Variant 12,12,Value 9,Value 9,Resolve ticket
71,Case16,Closed,2012/03/24 13:20:19.000,2012/03/24 13:20:19.000,Fluxicon Disco,Variant 12,12,Value 5,Value 5,Closed
72,Case17,Assign seriousness,2011/10/14 06:10:47.000,2011/10/14 06:10:47.000,Fluxicon Disco,Variant 1,1,Value 1,Value 1,Assign seriousness
73,Case17,Take in charge ticket,2011/11/02 15:17:52.000,2011/11/02 15:17:52.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
74,Case17,Resolve ticket,2011/11/09 12:31:37.000,2011/11/09 12:31:37.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
75,Case17,Closed,2011/11/24 14:57:55.000,2011/11/24 14:57:55.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
76,Case18,Assign seriousness,2013/03/01 15:06:11.000,2013/03/01 15:06:11.000,Fluxicon Disco,Variant 6,6,Value 1,Value 1,Assign seriousness
77,Case18,Take in charge ticket,2013/03/18 13:04:03.000,2013/03/18 13:04:03.000,Fluxicon Disco,Variant 6,6,Value 1,Value 1,Take in charge ticket
78,Case18,Resolve ticket,2013/03/19 09:22:40.000,2013/03/19 09:22:40.000,Fluxicon Disco,Variant 6,6,Value 1,Value 1,Resolve ticket
79,Case18,Resolve ticket,2013/03/19 09:22:40.000,2013/03/19 09:22:40.000,Fluxicon Disco,Variant 6,6,Value 1,Value 1,Resolve ticket
80,Case18,Closed,2013/04/03 08:23:01.000,2013/04/03 08:23:01.000,Fluxicon Disco,Variant 6,6,Value 3,Value 3,Closed
81,Case19,Assign seriousness,2010/07/07 06:54:04.000,2010/07/07 06:54:04.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Assign seriousness
82,Case19,Take in charge ticket,2010/07/09 09:10:52.000,2010/07/09 09:10:52.000,Fluxicon Disco,Variant 1,1,Value 7,Value 7,Take in charge ticket
83,Case19,Resolve ticket,2010/07/09 09:11:18.000,2010/07/09 09:11:18.000,Fluxicon Disco,Variant 1,1,Value 7,Value 7,Resolve ticket
84,Case19,Closed,2010/08/07 07:00:22.000,2010/08/07 07:00:22.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
85,Case20,Assign seriousness,2013/05/09 06:10:37.000,2013/05/09 06:10:37.000,Fluxicon Disco,Variant 2,2,Value 14,Value 14,Assign seriousness
86,Case20,Take in charge ticket,2013/06/04 12:33:01.000,2013/06/04 12:33:01.000,Fluxicon Disco,Variant 2,2,Value 9,Value 9,Take in charge ticket
87,Case20,Wait,2013/06/10 08:06:43.000,2013/06/10 08:06:43.000,Fluxicon Disco,Variant 2,2,Value 9,Value 9,Wait
88,Case20,Resolve ticket,2013/06/19 08:12:02.000,2013/06/19 08:12:02.000,Fluxicon Disco,Variant 2,2,Value 9,Value 9,Resolve ticket
89,Case20,Closed,2013/07/04 08:12:15.000,2013/07/04 08:12:15.000,Fluxicon Disco,Variant 2,2,Value 3,Value 3,Closed
90,Case21,Assign seriousness,2011/01/14 14:15:21.000,2011/01/14 14:15:21.000,Fluxicon Disco,Variant 1,1,Value 8,Value 8,Assign seriousness
91,Case21,Take in charge ticket,2011/01/27 07:06:37.000,2011/01/27 07:06:37.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
92,Case21,Resolve ticket,2011/01/27 09:19:15.000,2011/01/27 09:19:15.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
93,Case21,Closed,2011/02/26 09:19:37.000,2011/02/26 09:19:37.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
94,Case22,Assign seriousness,2012/07/23 06:49:04.000,2012/07/23 06:49:04.000,Fluxicon Disco,Variant 2,2,Value 1,Value 1,Assign seriousness
95,Case22,Take in charge ticket,2012/07/23 06:49:14.000,2012/07/23 06:49:14.000,Fluxicon Disco,Variant 2,2,Value 1,Value 1,Take in charge ticket
96,Case22,Wait,2012/07/23 07:51:59.000,2012/07/23 07:51:59.000,Fluxicon Disco,Variant 2,2,Value 1,Value 1,Wait
97,Case22,Resolve ticket,2012/08/27 09:05:23.000,2012/08/27 09:05:23.000,Fluxicon Disco,Variant 2,2,Value 1,Value 1,Resolve ticket
98,Case22,Closed,2012/09/11 09:05:33.000,2012/09/11 09:05:33.000,Fluxicon Disco,Variant 2,2,Value 3,Value 3,Closed
99,Case23,Assign seriousness,2012/12/19 15:33:23.000,2012/12/19 15:33:23.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Assign seriousness
100,Case23,Take in charge ticket,2013/01/03 07:26:14.000,2013/01/03 07:26:14.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
101,Case23,Resolve ticket,2013/01/22 14:50:53.000,2013/01/22 14:50:53.000,Fluxicon Disco,Variant 1,1,Value 1,Value 1,Resolve ticket
102,Case23,Closed,2013/02/06 14:51:06.000,2013/02/06 14:51:06.000,Fluxicon Disco,Variant 1,1,Value 3,Value 3,Closed
103,Case24,Assign seriousness,2010/04/27 08:49:56.000,2010/04/27 08:49:56.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Assign seriousness
104,Case24,Take in charge ticket,2010/06/08 10:06:56.000,2010/06/08 10:06:56.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
105,Case24,Resolve ticket,2010/06/08 13:46:16.000,2010/06/08 13:46:16.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
106,Case24,Closed,2010/06/23 13:46:28.000,2010/06/23 13:46:28.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
107,Case25,Assign seriousness,2010/12/30 08:27:17.000,2010/12/30 08:27:17.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Assign seriousness
108,Case25,Take in charge ticket,2010/12/30 12:14:04.000,2010/12/30 12:14:04.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
109,Case25,Resolve ticket,2010/12/30 14:16:35.000,2010/12/30 14:16:35.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
110,Case25,Closed,2011/02/16 08:30:28.000,2011/02/16 08:30:28.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
111,Case26,Assign seriousness,2011/03/31 06:28:47.000,2011/03/31 06:28:47.000,Fluxicon Disco,Variant 3,3,Value 2,Value 2,Assign seriousness
112,Case26,Take in charge ticket,2011/03/31 06:31:59.000,2011/03/31 06:31:59.000,Fluxicon Disco,Variant 3,3,Value 2,Value 2,Take in charge ticket
113,Case26,Wait,2011/03/31 07:39:41.000,2011/03/31 07:39:41.000,Fluxicon Disco,Variant 3,3,Value 2,Value 2,Wait
114,Case26,Take in charge ticket,2011/03/31 10:00:28.000,2011/03/31 10:00:28.000,Fluxicon Disco,Variant 3,3,Value 2,Value 2,Take in charge ticket
115,Case26,Resolve ticket,2011/03/31 10:00:41.000,2011/03/31 10:00:41.000,Fluxicon Disco,Variant 3,3,Value 2,Value 2,Resolve ticket
116,Case26,Closed,2011/05/05 08:50:46.000,2011/05/05 08:50:46.000,Fluxicon Disco,Variant 3,3,Value 5,Value 5,Closed
117,Case27,Assign seriousness,2011/11/24 13:02:16.000,2011/11/24 13:02:16.000,Fluxicon Disco,Variant 1,1,Value 1,Value 1,Assign seriousness
118,Case27,Take in charge ticket,2011/11/24 13:02:35.000,2011/11/24 13:02:35.000,Fluxicon Disco,Variant 1,1,Value 1,Value 1,Take in charge ticket
119,Case27,Resolve ticket,2011/12/12 08:04:47.000,2011/12/12 08:04:47.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Resolve ticket
120,Case27,Closed,2011/12/27 08:05:04.000,2011/12/27 08:05:04.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
121,Case28,Assign seriousness,2013/10/25 14:53:59.000,2013/10/25 14:53:59.000,Fluxicon Disco,Variant 55,55,Value 9,Value 9,Assign seriousness
122,Case28,Take in charge ticket,2013/10/25 14:54:05.000,2013/10/25 14:54:05.000,Fluxicon Disco,Variant 55,55,Value 9,Value 9,Take in charge ticket
123,Case28,Create SW anomaly,2013/10/25 14:54:12.000,2013/10/25 14:54:12.000,Fluxicon Disco,Variant 55,55,Value 9,Value 9,Create SW anomaly
124,Case28,Require upgrade,2013/10/25 14:54:23.000,2013/10/25 14:54:23.000,Fluxicon Disco,Variant 55,55,Value 9,Value 9,Require upgrade
125,Case28,Require upgrade,2013/11/14 14:55:48.000,2013/11/14 14:55:48.000,Fluxicon Disco,Variant 55,55,Value 1,Value 1,Require upgrade
126,Case28,Resolve ticket,2013/12/23 07:08:05.000,2013/12/23 07:08:05.000,Fluxicon Disco,Variant 55,55,Value 1,Value 1,Resolve ticket
127,Case29,Assign seriousness,2012/07/30 09:07:32.000,2012/07/30 09:07:32.000,Fluxicon Disco,Variant 1,1,Value 1,Value 1,Assign seriousness
128,Case29,Take in charge ticket,2012/07/30 09:07:40.000,2012/07/30 09:07:40.000,Fluxicon Disco,Variant 1,1,Value 1,Value 1,Take in charge ticket
129,Case29,Resolve ticket,2012/07/30 11:29:40.000,2012/07/30 11:29:40.000,Fluxicon Disco,Variant 1,1,Value 1,Value 1,Resolve ticket
130,Case29,Closed,2012/09/14 09:10:38.000,2012/09/14 09:10:38.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
131,Case30,Assign seriousness,2011/01/21 08:47:20.000,2011/01/21 08:47:20.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Assign seriousness
132,Case30,Take in charge ticket,2011/02/07 08:19:45.000,2011/02/07 08:19:45.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
133,Case30,Resolve ticket,2011/02/10 08:01:20.000,2011/02/10 08:01:20.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
134,Case30,Closed,2011/02/25 08:01:35.000,2011/02/25 08:01:35.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
135,Case31,Assign seriousness,2013/04/15 11:41:20.000,2013/04/15 11:41:20.000,Fluxicon Disco,Variant 45,45,Value 4,Value 4,Assign seriousness
136,Case31,Take in charge ticket,2013/04/18 06:06:11.000,2013/04/18 06:06:11.000,Fluxicon Disco,Variant 45,45,Value 9,Value 9,Take in charge ticket
137,Case31,Create SW anomaly,2013/04/18 06:18:02.000,2013/04/18 06:18:02.000,Fluxicon Disco,Variant 45,45,Value 9,Value 9,Create SW anomaly
138,Case31,Require upgrade,2013/04/18 06:18:23.000,2013/04/18 06:18:23.000,Fluxicon Disco,Variant 45,45,Value 9,Value 9,Require upgrade
139,Case31,Resolve ticket,2013/05/15 12:30:39.000,2013/05/15 12:30:39.000,Fluxicon Disco,Variant 45,45,Value 9,Value 9,Resolve ticket
140,Case31,Closed,2013/05/30 12:31:00.000,2013/05/30 12:31:00.000,Fluxicon Disco,Variant 45,45,Value 3,Value 3,Closed
141,Case32,Assign seriousness,2011/04/27 06:38:44.000,2011/04/27 06:38:44.000,Fluxicon Disco,Variant 1,1,Value 8,Value 8,Assign seriousness
142,Case32,Take in charge ticket,2011/04/27 11:46:13.000,2011/04/27 11:46:13.000,Fluxicon Disco,Variant 1,1,Value 8,Value 8,Take in charge ticket
143,Case32,Resolve ticket,2011/04/28 07:18:08.000,2011/04/28 07:18:08.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
144,Case32,Closed,2011/06/04 06:40:30.000,2011/06/04 06:40:30.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
145,Case33,Assign seriousness,2013/04/29 12:22:48.000,2013/04/29 12:22:48.000,Fluxicon Disco,Variant 1,1,Value 14,Value 14,Assign seriousness
146,Case33,Take in charge ticket,2013/05/14 13:53:46.000,2013/05/14 13:53:46.000,Fluxicon Disco,Variant 1,1,Value 14,Value 14,Take in charge ticket
147,Case33,Resolve ticket,2013/05/15 09:19:05.000,2013/05/15 09:19:05.000,Fluxicon Disco,Variant 1,1,Value 14,Value 14,Resolve ticket
148,Case33,Closed,2013/05/30 09:19:20.000,2013/05/30 09:19:20.000,Fluxicon Disco,Variant 1,1,Value 3,Value 3,Closed
149,Case34,Assign seriousness,2013/06/11 12:56:40.000,2013/06/11 12:56:40.000,Fluxicon Disco,Variant 14,14,Value 14,Value 14,Assign seriousness
150,Case34,Take in charge ticket,2013/06/25 09:42:45.000,2013/06/25 09:42:45.000,Fluxicon Disco,Variant 14,14,Value 14,Value 14,Take in charge ticket
151,Case34,Wait,2013/06/25 09:43:50.000,2013/06/25 09:43:50.000,Fluxicon Disco,Variant 14,14,Value 14,Value 14,Wait
152,Case34,Wait,2013/06/26 12:27:04.000,2013/06/26 12:27:04.000,Fluxicon Disco,Variant 14,14,Value 9,Value 9,Wait
153,Case34,Resolve ticket,2013/07/05 09:18:32.000,2013/07/05 09:18:32.000,Fluxicon Disco,Variant 14,14,Value 9,Value 9,Resolve ticket
154,Case34,Closed,2013/07/20 09:18:42.000,2013/07/20 09:18:42.000,Fluxicon Disco,Variant 14,14,Value 3,Value 3,Closed
155,Case35,Assign seriousness,2012/01/18 07:15:30.000,2012/01/18 07:15:30.000,Fluxicon Disco,Variant 5,5,Value 1,Value 1,Assign seriousness
156,Case35,Resolve ticket,2012/01/18 08:46:37.000,2012/01/18 08:46:37.000,Fluxicon Disco,Variant 5,5,Value 1,Value 1,Resolve ticket
157,Case35,Closed,2012/03/10 07:20:43.000,2012/03/10 07:20:43.000,Fluxicon Disco,Variant 5,5,Value 5,Value 5,Closed
158,Case36,Assign seriousness,2011/06/29 09:06:48.000,2011/06/29 09:06:48.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Assign seriousness
159,Case36,Take in charge ticket,2011/06/30 11:58:23.000,2011/06/30 11:58:23.000,Fluxicon Disco,Variant 1,1,Value 6,Value 6,Take in charge ticket
160,Case36,Resolve ticket,2011/07/05 06:32:43.000,2011/07/05 06:32:43.000,Fluxicon Disco,Variant 1,1,Value 6,Value 6,Resolve ticket
161,Case36,Closed,2011/07/30 09:10:20.000,2011/07/30 09:10:20.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
162,Case37,Assign seriousness,2011/02/10 10:13:07.000,2011/02/10 10:13:07.000,Fluxicon Disco,Variant 92,92,Value 8,Value 8,Assign seriousness
163,Case37,Take in charge ticket,2011/02/10 10:13:33.000,2011/02/10 10:13:33.000,Fluxicon Disco,Variant 92,92,Value 8,Value 8,Take in charge ticket
164,Case37,Resolve ticket,2011/02/10 14:20:02.000,2011/02/10 14:20:02.000,Fluxicon Disco,Variant 92,92,Value 9,Value 9,Resolve ticket
165,Case37,Resolve ticket,2011/03/02 12:23:58.000,2011/03/02 12:23:58.000,Fluxicon Disco,Variant 92,92,Value 2,Value 2,Resolve ticket
166,Case37,Take in charge ticket,2011/03/02 12:24:07.000,2011/03/02 12:24:07.000,Fluxicon Disco,Variant 92,92,Value 2,Value 2,Take in charge ticket
167,Case37,Wait,2011/03/02 14:27:52.000,2011/03/02 14:27:52.000,Fluxicon Disco,Variant 92,92,Value 2,Value 2,Wait
168,Case37,Take in charge ticket,2011/03/04 08:37:50.000,2011/03/04 08:37:50.000,Fluxicon Disco,Variant 92,92,Value 2,Value 2,Take in charge ticket
169,Case37,Resolve ticket,2011/03/04 08:37:55.000,2011/03/04 08:37:55.000,Fluxicon Disco,Variant 92,92,Value 2,Value 2,Resolve ticket
170,Case37,Closed,2011/04/03 07:38:21.000,2011/04/03 07:38:21.000,Fluxicon Disco,Variant 92,92,Value 5,Value 5,Closed
171,Case38,Assign seriousness,2012/03/20 06:57:45.000,2012/03/20 06:57:45.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Assign seriousness
172,Case38,Take in charge ticket,2012/03/20 06:58:15.000,2012/03/20 06:58:15.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Take in charge ticket
173,Case38,Resolve ticket,2012/03/20 07:18:56.000,2012/03/20 07:18:56.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Resolve ticket
174,Case38,Closed,2012/04/21 15:00:36.000,2012/04/21 15:00:36.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
175,Case39,Assign seriousness,2013/08/29 10:05:59.000,2013/08/29 10:05:59.000,Fluxicon Disco,Variant 2,2,Value 14,Value 14,Assign seriousness
176,Case39,Take in charge ticket,2013/09/11 11:57:48.000,2013/09/11 11:57:48.000,Fluxicon Disco,Variant 2,2,Value 2,Value 2,Take in charge ticket
